product_id,product_name,category,unit_price,currency,updated_at
P0001,Bluetooth Speaker,Electronics,20641.79,TRY,2026-07-02T01:07:11Z
P0002,Walnut Mix 400g,Grocery,21.64,EUR,2026-02-15T11:26:13Z
P0003,Crossbody Bag,Fashion,188.82,AZN,2025-11-14T21:10:03Z
P0004,Ceramic Vase,Home & Garden,4537.45,TRY,2026-01-31T03:30:49Z
P0005,Face Moisturizer,Beauty,33.08,EUR,2026-05-08T07:11:15Z
P0006,Football,Sports,277.25,AZN,2026-06-27T03:32:57Z
P0007,Smart Watch,Electronics,461.05,EUR,2025-11-13T18:25:50Z
P0008,Pomegranate Juice,Grocery,44.91,AZN,2026-03-21T14:04:06Z
P0009,Classic Watch,Fashion,198.60,AZN,2026-04-10T18:47:33Z
P0010,Ceramic Vase v2,Home & Garden,48.46,EUR,2026-03-22T07:54:16Z
P0011,Nail Care Kit,Beauty,94.32,AZN,2025-12-11T19:25:48Z
P0012,Camping Tent,Sports,33.52,AZN,2026-03-11T22:09:01Z
P0013,Robot Vacuum,Electronics,412.42,AZN,2026-04-09T16:19:32Z
P0014,Walnut Mix 400g v2,Grocery,43.25,AZN,2026-06-09T05:25:14Z
P0015,Leather Belt,Fashion,34.74,AZN,2025-12-06T20:51:07Z
P0016,Cotton Bedding Set,Home & Garden,15.47,EUR,2026-06-04T20:12:21Z
P0017,Face Moisturizer v2,Beauty,54.16,EUR,2025-11-10T21:25:16Z
P0018,Camping Tent v2,Sports,113.27,AZN,2026-04-01T09:37:05Z
P0019,Bluetooth Speaker v2,Electronics,3722.33,TRY,2026-04-29T11:21:36Z
P0020,Black Tea 500g,Grocery,39.35,AZN,2026-04-27T10:48:37Z
P0021,Running Sneakers,Fashion,48.99,EUR,2026-03-07T02:09:57Z
P0022,Scented Candle,Home & Garden,52.35,EUR,2026-01-20T22:09:20Z
P0023,Nail Care Kit v2,Beauty,14.47,EUR,2026-05-12T22:40:44Z
P0024,Football v2,Sports,155.01,EUR,2026-01-27T11:18:13Z
P0025,Mechanical Keyboard,Electronics,773.33,AZN,2026-03-14T14:46:07Z
P0026,Black Tea 500g v2,Grocery,12.39,EUR,2026-05-03T02:32:59Z
P0027,Running Sneakers v2,Fashion,62.74,AZN,2026-07-09T08:13:55Z
P0028,Scented Candle v2,Home & Garden,81.68,USD,2026-02-05T04:41:22Z
P0029,Hair Dryer,Beauty,116.10,AZN,2026-02-06T20:47:21Z
P0030,Yoga Mat,Sports,25.04,AZN,2026-06-27T10:00:47Z
P0031,Football v3,Sports,158.76,AZN,2025-11-17T22:03:41Z
P0032,Ground Coffee 250g,Grocery,15.66,AZN,2026-04-05T12:38:20Z
P0033,Argan Shampoo,Beauty,62.10,AZN,2026-04-06T09:42:17Z
P0034,Face Moisturizer v3,Beauty,58.74,AZN,2025-11-27T06:29:17Z
P0035,Cotton T-Shirt,Fashion,15.78,AZN,2026-05-04T23:09:12Z
P0036,Argan Shampoo v2,Beauty,2011.54,TRY,2026-01-28T22:48:37Z
P0037,Perfume 50ml,Beauty,107.99,AZN,2026-06-07T08:57:09Z
P0038,Argan Shampoo v3,Beauty,55.36,AZN,2025-11-16T18:18:57Z
P0039,Yoga Mat v2,Sports,25.46,EUR,2026-07-20T08:28:25Z
P0040,Cotton T-Shirt v2,Fashion,93.15,AZN,2026-07-22T18:40:26Z
P0041,Cotton T-Shirt v3,Fashion,171.69,AZN,2025-09-20T00:53:30Z
P0042,Camping Tent v3,Sports,94.50,TRY,2026-07-03T08:30:00Z
P0042,Camping Tent v3,Sports,89.90,TRY,2026-02-11T10:00:00Z
P0043,Dark Chocolate,Grocery,632.81,TRY,2025-12-20T08:09:13Z
P0044,Leather Belt v2,Fashion,13.53,EUR,2025-12-18T03:44:30Z
P0045,Fitness Band,Sports,81.60,EUR,2026-01-19T21:00:25Z
P0046,Tennis Racket,Sports,40.62,USD,2025-09-01T02:22:43Z
P0047,Scented Candle v3,Home & Garden,1873.44,TRY,2026-07-26T19:22:05Z
P0048,Non-stick Pan,Home & Garden,75.45,USD,2025-10-15T08:49:49Z
P0049,Robot Vacuum v2,Electronics,282.40,EUR,2025-12-04T01:02:39Z
P0050,Face Moisturizer v4,Beauty,84.76,AZN,2026-02-09T10:53:32Z
P0051,Tennis Racket v2,Sports,150.86,EUR,2025-12-11T01:12:05Z
P0052,Matte Lipstick,Beauty,61.65,AZN,2026-01-05T07:56:30Z
P0053,Tennis Racket v3,Sports,299.71,AZN,2026-07-07T12:31:47Z
P0054,Robot Vacuum v3,Electronics,690.99,AZN,2025-12-01T15:58:57Z
P0055,Smart Watch v2,Electronics,211.94,USD,2026-07-09T17:35:51Z
P0056,Cotton T-Shirt v4,Fashion,16.57,EUR,2026-06-06T13:49:07Z
P0057,Basmati Rice 5kg,Grocery,293.67,TRY,2026-05-22T06:28:52Z
P0058,Olive Oil 1L,Grocery,-45.00,TRY,2025-09-16T09:47:32Z
P0059,Pomegranate Juice v2,Grocery,26.83,AZN,2026-05-31T08:50:03Z
P0060,Vitamin C Serum,Beauty,10.87,USD,2026-07-03T11:14:40Z
P0061,4K Monitor,Electronics,97.22,AZN,2026-01-22T00:48:10Z
P0062,Wall Clock,Home & Garden,2664.89,TRY,2026-06-17T13:22:36Z
P0063,Football v4,Sports,129.21,USD,2026-04-09T05:47:21Z
P0064,Garden Hose 20m,Home & Garden,55.93,USD,2026-04-04T20:48:59Z
P0065,Ground Coffee 250g v2,Grocery,27.80,AZN,2026-02-21T07:02:37Z
P0066,Football v5,Sports,160.40,USD,2025-11-17T10:55:22Z
P0067,Cycling Helmet,Sports,49.68,AZN,2025-12-09T00:41:57Z
P0068,Hair Dryer v2,Beauty,30.05,AZN,2025-09-19T21:49:27Z
P0069,Dumbbell Set 10kg,Sports,175.56,USD,2026-06-24T09:15:20Z
P0070,Ground Coffee 250g v3,Grocery,228.96,TRY,2026-04-23T14:14:56Z
P0071,Olive Oil 1L v2,Grocery,19.96,EUR,2026-03-11T10:18:01Z
P0072,Cycling Helmet v2,Sports,146.56,AZN,2025-10-17T16:41:59Z
P0073,Wall Clock v2,Home & Garden,52.79,AZN,2025-11-12T01:37:04Z
P0074,Bluetooth Speaker v3,Electronics,237.17,EUR,2026-02-03T06:18:10Z
P0075,Cycling Helmet v3,Sports,240.11,AZN,2026-05-08T03:51:36Z
P0076,USB-C Hub,Electronics,691.52,AZN,2025-11-02T12:37:48Z
P0077,Cycling Helmet v4,,103.11,AZN,2026-03-22T02:43:56Z
P0078,Storage Box Set,Home & Garden,2139.47,TRY,2025-10-17T01:41:05Z
P0079,Wireless Headphones,Electronics,92.44,EUR,2026-07-04T05:36:56Z
P0080,Tennis Racket v4,Sports,149.40,EUR,2026-05-26T23:47:30Z
P0081,Smart Watch v3,Electronics,291.29,AZN,2025-09-14T22:42:22Z
P0082,Nail Care Kit v3,Beauty,86.16,AZN,2025-09-24T12:31:32Z
P0083,Face Moisturizer v5,Beauty,27.52,USD,2026-05-06T23:30:12Z
P0084,Classic Watch v2,Fashion,68.41,EUR,2026-02-06T06:07:22Z
P0085,Football v6,Sports,121.66,AZN,2026-03-14T20:46:10Z
P0086,Ground Coffee 250g v4,Grocery,14.64,AZN,2026-03-18T07:31:29Z
P0087,Camping Tent v4,Sports,98.24,USD,2026-02-12T06:06:45Z
P0088,Vitamin C Serum v2,Beauty,93.90,AZN,2025-10-07T13:49:40Z
P0089,Cycling Helmet v5,Sports,822.04,TRY,2025-10-05T03:08:09Z
P0090,Football v7,Sports,1154.37,TRY,2026-02-26T23:35:03Z
P0091,4K Monitor v2,Electronics,548.03,AZN,2026-06-26T16:13:41Z
P0092,Basmati Rice 5kg v2,Grocery,22.36,USD,2026-01-27T16:38:38Z
P0093,Pomegranate Juice v3,Grocery,133.02,TRY,2026-03-12T09:33:25Z
P0094,4K Monitor v3,Electronics,878.65,AZN,2025-12-06T01:11:39Z
P0095,Cotton T-Shirt v5,Fashion,37.65,AZN,2026-01-15T06:14:04Z
P0096,Camping Tent v5,Sports,131.14,EUR,2025-09-24T14:23:30Z
P0097,Dark Chocolate v2,Grocery,24.64,AZN,2025-09-22T18:18:48Z
P0098,LED Desk Lamp,Home & Garden,67.64,AZN,2025-12-12T20:54:20Z
P0099,Nail Care Kit v4,Beauty,46.07,AZN,2026-04-02T23:25:07Z
P0100,Denim Jacket,Fashion,148.48,AZN,2026-05-11T12:35:16Z
P0101,Wool Scarf,Fashion,126.05,AZN,2025-09-28T23:01:54Z
P0102,Walnut Mix 400g v3,Grocery,5.34,EUR,2026-06-29T13:32:44Z
P0103,Action Camera,Electronics,"1,299.00",AZN,2026-06-20T21:14:38Z
P0104,Classic Watch v3,Fashion,184.35,AZN,2026-05-07T11:53:05Z
P0105,Crossbody Bag v2,Fashion,42.69,AZN,2026-06-10T11:23:29Z
P0106,Basmati Rice 5kg v3,Grocery,3.61,EUR,2026-03-27T07:13:04Z
P0107,Olive Oil 1L v3,Grocery,10.58,AZN,2025-12-15T21:02:46Z
P0108,Tennis Racket v5,Sports,149.80,AZN,2025-12-20T10:16:51Z
P0109,4K Monitor v4,Electronics,24.51,EUR,2026-01-28T10:11:24Z
P0110,Ground Coffee 250g v5,Grocery,15.18,AZN,2025-10-15T19:58:52Z
P0111,Wall Clock v3,Home & Garden,157.50,AZN,2026-07-17T00:13:27Z
P0112,Vitamin C Serum v3,Beauty,52.11,EUR,2025-11-21T10:37:28Z
P0113,Black Tea 500g v3,Grocery,7.91,AZN,2025-10-10T17:28:52Z
P0114,Cotton Bedding Set v2,Home & Garden,3600.13,TRY,2025-12-17T07:19:35Z
P0115,Power Bank,Electronics,272.13,USD,2026-01-27T10:59:36Z
P0116,Fitness Band v2,Sports,133.82,AZN,2026-05-08T12:06:56Z
P0117,Argan Shampoo v4,Beauty,25.67,EUR,2026-06-06T18:29:35Z
P0118,Non-stick Pan v2,Home & Garden,84.04,AZN,2025-09-20T00:12:45Z
P0119,Black Tea 500g v4,Grocery,13.34,AZN,2026-04-21T18:16:21Z
P0120,Wall Clock v4,Home & Garden,175.69,AZN,2026-02-14T05:12:44Z
P0121,Wool Scarf v2,Fashion,144.93,AZM,2025-10-21T19:26:20Z
P0122,Wireless Headphones v2,Electronics,619.54,AZN,2025-10-20T22:27:54Z
P0123,Dumbbell Set 10kg v2,Sports,76.15,AZN,2026-04-16T18:12:29Z
P0124,Sunglasses,Fashion,40.42,USD,2026-01-13T18:18:20Z
P0125,Action Camera v2,Electronics,699.39,AZN,2026-07-25T11:54:07Z
P0126,Hair Dryer v3,Beauty,42.44,AZN,2026-03-11T23:41:45Z
P0127,Olive Oil 1L v4,Grocery,19.09,EUR,2025-12-19T14:38:05Z
P0128,Camping Tent v6,Sports,85.73,AZN,2026-03-20T01:16:15Z
P0129,Black Tea 500g v5,Grocery,42.37,AZN,2025-09-29T08:27:18Z
P0130,Wireless Headphones v3,Electronics,869.27,AZN,2026-03-04T16:30:54Z
P0131,USB-C Hub v2,Electronics,486.68,AZN,2026-01-11T17:54:03Z
P0132,Organic Honey,Grocery,12.34,USD,2026-06-05T05:04:25Z
P0133,Perfume 50ml v2,Beauty,1754.44,TRY,2025-11-05T06:44:55Z
P0134,Basmati Rice 5kg v4,Grocery,19.07,USD,2026-05-01T13:20:42Z
P0135,Football v8,Sports,6822.62,TRY,2026-01-23T17:13:18Z
P0136,Power Bank v2,Electronics,197.16,AZN,2026-01-24T03:24:10Z
P0137,Wool Scarf v3,Fashion,100.21,USD,2025-12-03T12:51:53Z
P0138,Perfume 50ml v3,Beauty,24.58,AZN,2026-03-13T21:17:19Z
P0139,Perfume 50ml v4,Beauty,2175.72,TRY,2026-02-27T02:58:27Z
P0140,Organic Honey v2,Grocery,9.98,AZN,2026-07-27T11:00:55Z
P0141,Non-stick Pan v3,Home & Garden,69.29,AZN,2026-04-13T06:10:00Z
P0142,Cotton Bedding Set v3,Home & Garden,150.20,AZN,2025-11-21T21:36:50Z
P0143,Ceramic Vase v3,Home & Garden,144.95,AZN,2026-05-02T09:51:38Z
P0144,Garden Hose 20m v2,Home & Garden,124.89,AZN,2026-05-06T05:50:08Z
P0145,Cotton T-Shirt v6,Fashion,112.57,USD,2026-04-20T18:35:05Z
P0146,Scented Candle v4,Home & Garden,28.70,EUR,2026-01-26T22:05:37Z
P0147,USB-C Hub v3,Electronics,303.73,EUR,2026-07-10T23:49:28Z
P0148,4K Monitor v5,Electronics,550.42,AZN,2026-02-09T05:00:21Z
P0149,Face Moisturizer v6,Beauty,31.67,AZN,2026-06-09T07:55:34Z
P0150,Garden Hose 20m v3,Home & Garden,48.76,AZN,2025-09-27T02:34:45Z
